Composer,Work,Track,Valence,Arousal,Quadrant
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Prélude,0.35600000000000004,0.0132,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Tango,0.152,0.0169,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Malagueña,0.0576,0.0811,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Serenata,0.374,0.09699999999999999,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Capricho Catalan,0.102,0.05,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Zortzico,0.385,0.0479,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 1. Granada (Serenata)",0.125,0.0427,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 2. Cataluna (Corranda)",0.126,0.0784,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 3. Sevilla (Sevillanas)",0.0783,0.10300000000000001,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 4. Cadiz (Cancion)",0.287,0.0323,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 5. Asturias (Leyenda)",0.21600000000000003,0.0694,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 6. Aragon (Fantasia)",0.10400000000000001,0.0532,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 7. Castilla (Seguidillas)",0.12,0.0697,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 8. Cuba (Capricho)",0.198,0.0359,3
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt I,0.0824,0.17,3
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt II,0.0624,0.0238,3
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt III,0.265,0.205,3
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Adagio Sostenuto,0.162,0.0612,3
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Allegretto,0.605,0.145,4
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Presto Agitato,0.134,0.179,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Für Elise (For Elise) in A-Moll, WwO 59: Poco moto",0.235,0.0126,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: I. Allegro Molto E Con Brio",0.35600000000000004,0.0337,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: II. Adagio Molto",0.29100000000000004,0.011000000000000001,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: III. Prestissimo",0.536,0.10800000000000001,4
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: I. Allegro con brio",0.441,0.0814,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: II. Adagio Con Molta Espressione",0.11900000000000001,0.0196,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: III. Minuetto",0.5670000000000001,0.0218,4
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: IV. Rondo-Allegretto",0.5429999999999999,0.0695,4
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 21 in C Major, Opus 53: I. Allegro con brio - Waldstein",0.179,0.0713,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 21 in C Major, Opus 53: II. Adagio Molto - Waldstein",0.0865,0.0015300000000000001,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 21 in C Major, Opus 53: III. Allegro moderato - Waldstein",0.102,0.0315,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 23 in F Minor (Appassionata), Opus 57: I Allegro assai",0.0571,0.044000000000000004,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 23 in F Minor (Appassionata), Opus 57: II Andante con moto",0.14400000000000002,0.0137,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 23 in F Minor (Appassionata), Opus 57: III Allegro ma non troppo",0.0793,0.124,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 26 in Eb Major (Les Adieux), Opus 81a: I Adagio",0.265,0.027999999999999997,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 26 in Eb Major (Les Adieux), Opus 81a: II Andante Espressivo",0.131,0.00605,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 26 in Eb Major (Les Adieux), Opus 81a: III Vivacissimamente",0.267,0.0594,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: I Allegro",0.353,0.0784,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: II Scherzo",0.29600000000000004,0.0582,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: III Adagio Sostenuto",0.0617,0.0138,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: IV Largo - Allegro",0.317,0.0812,3
Ludwig van Beethoven,"Beethoven Sonata No. 27 in E Minor, Op. 90","Sonata No. 27 in E Minor, Op. 90: I",0.0489,0.0313,3
Ludwig van Beethoven,"Beethoven Sonata No. 27 in E Minor, Op. 90","Sonata No. 27 in E Minor, Op. 90: II",0.155,0.0518,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: I. Allegro",0.0863,0.0507,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: II. Andante",0.0694,0.00358,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: III. Scherzo. Allegro molto e con fuoco",0.19399999999999998,0.11800000000000001,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: IV. Finale. Allegro con fuoco",0.0985,0.149,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: The Pearls",0.349,0.15,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: The Fountain",0.455,0.04,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Agitato",0.276,0.19,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Velocity",0.273,0.21899999999999997,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Awaking in the Woods",0.659,0.20600000000000002,4
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Thunderstorm",0.20199999999999999,0.0703,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: The Sylphs",0.386,0.0261,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Separation",0.547,0.0999,4
