Composer,Work,Track,Valence,Arousal
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Prélude,0.356,0.0132
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Tango,0.152,0.0169
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Malagueña,0.0576,0.0811
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Serenata,0.374,0.097
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Capricho Catalan,0.102,0.05
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Zortzico,0.385,0.0479
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 1. Granada (Serenata)",0.125,0.0427
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 2. Cataluna (Corranda)",0.126,0.0784
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 3. Sevilla (Sevillanas)",0.0783,0.103
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 4. Cadiz (Cancion)",0.287,0.0323
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 5. Asturias (Leyenda)",0.216,0.0694
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 6. Aragon (Fantasia)",0.104,0.0532
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 7. Castilla (Seguidillas)",0.12,0.0697
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 8. Cuba (Capricho)",0.198,0.0359
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt I,0.0824,0.17
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt II,0.0624,0.0238
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt III,0.265,0.205
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Adagio Sostenuto,0.162,0.0612
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Allegretto,0.605,0.145
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Presto Agitato,0.134,0.179
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Für Elise (For Elise) in A-Moll, WwO 59: Poco moto",0.235,0.0126
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: I. Allegro Molto E Con Brio",0.356,0.0337
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: II. Adagio Molto",0.291,0.011
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: III. Prestissimo",0.536,0.108
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: I. Allegro con brio",0.441,0.0814
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: II. Adagio Con Molta Espressione",0.119,0.0196
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: III. Minuetto",0.567,0.0218
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: IV. Rondo-Allegretto",0.543,0.0695
